
5, 0
10, 0
15, 0
20, 0
25, 0
30, 0
35, 0
40, 0
45, 0
50, 0
55, 0
60, 0
65, 0
70, 1
75, 1
80, 1
85, 2
90, 2
95, 2
100, 3
105, 4
110, 4
115, 5
120, 5
125, 6
130, 7
135, 8
140, 9
145, 10
150, 11
155, 12
160, 14
165, 15
170, 16
175, 18
180, 19
185, 21
190, 23
195, 25
200, 27
205, 31
210, 31
215, 33
220, 36
225, 41
230, 44
235, 44
240, 47
245, 49
250, 53
255, 56
260, 59
265, 62
270, 67
275, 70
280, 75
285, 78
290, 82
295, 88
300, 91
305, 95
310, 101
315, 105
320, 110
325, 115
330, 120
335, 126
340, 132
345, 138
350, 144
355, 150
360, 156
365, 163
370, 170
375, 177
380, 184
385, 191
390, 198
395, 207
400, 214
405, 222
410, 231
415, 239
420, 248
425, 258
430, 276
435, 279
440, 289
445, 298
450, 308
455, 319
460, 329
465, 340
470, 351
475, 363
480, 375
485, 387
490, 398
495, 411
